"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"ルーティン","2017/03/04","22:15:00","2017/03/04","23:15:00","false","",,"true"
"家事","2017/03/04","21:55:00","2017/03/04","22:15:00","false","",,"true"
"ルーティン","2017/03/04","21:55:00","2017/03/04","21:55:00","false","",,"true"
"ギター","2017/03/04","20:54:00","2017/03/04","21:55:00","false","",,"true"
"食事","2017/03/04","19:54:00","2017/03/04","20:54:00","false","",,"true"
"買い物","2017/03/04","19:34:00","2017/03/04","19:54:00","false","",,"true"
"ネット/SNS","2017/03/04","18:33:00","2017/03/04","19:34:00","false","",,"true"
"録音","2017/03/04","18:09:00","2017/03/04","18:33:00","false","",,"true"
"ギター","2017/03/04","15:06:00","2017/03/04","18:09:00","false","",,"true"
"管理/調整","2017/03/04","13:10:00","2017/03/04","15:06:00","false","",,"true"
"テレビ","2017/03/04","12:28:00","2017/03/04","13:10:00","false","",,"true"
"家事","2017/03/04","12:04:00","2017/03/04","12:28:00","false","",,"true"
"家事","2017/03/04","12:03:00","2017/03/04","12:04:00","false","",,"true"
"ルーティン","2017/03/04","11:54:00","2017/03/04","12:03:00","false","",,"true"
"テレビ","2017/03/04","11:42:00","2017/03/04","11:54:00","false","",,"true"
"食事","2017/03/04","11:01:00","2017/03/04","11:42:00","false","",,"true"
"ギター","2017/03/04","10:48:00","2017/03/04","11:01:00","false","",,"true"
"家事","2017/03/04","10:41:00","2017/03/04","10:48:00","false","",,"true"
"ルーティン","2017/03/04","10:24:00","2017/03/04","10:41:00","false","",,"true"
"食事","2017/03/04","10:17:00","2017/03/04","10:24:00","false","",,"true"
"睡眠","2017/03/04","00:58:00","2017/03/04","10:17:00","false","",,"true"
"ルーティン","2017/03/03","23:53:00","2017/03/04","00:57:00","false","",,"true"
"通勤","2017/03/03","22:59:00","2017/03/03","23:53:00","false","",,"true"
"飲み会","2017/03/03","20:00:00","2017/03/03","22:59:00","false","",,"true"
"移動","2017/03/03","19:34:00","2017/03/03","20:00:00","false","",,"true"
"ユーザー検証","2017/03/03","17:34:00","2017/03/03","19:34:00","false","",,"true"
"会話","2017/03/03","16:12:00","2017/03/03","17:34:00","false","",,"true"
"ユーザー検証","2017/03/03","15:22:00","2017/03/03","16:12:00","false","",,"true"
"事務処理","2017/03/03","15:19:00","2017/03/03","15:22:00","false","",,"true"
"休憩","2017/03/03","15:01:00","2017/03/03","15:19:00","false","",,"true"
"リリース準備","2017/03/03","14:27:00","2017/03/03","15:01:00","false","",,"true"
"会話","2017/03/03","14:25:00","2017/03/03","14:27:00","false","",,"true"
"リリース準備","2017/03/03","12:55:00","2017/03/03","14:25:00","false","",,"true"
"間接時間","2017/03/03","12:45:00","2017/03/03","12:55:00","false","",,"true"
"睡眠","2017/03/03","12:30:00","2017/03/03","12:45:00","false","",,"true"
"ネット/SNS","2017/03/03","12:06:00","2017/03/03","12:30:00","false","",,"true"
"食事","2017/03/03","11:52:00","2017/03/03","12:06:00","false","",,"true"
"ユーザー検証","2017/03/03","11:38:00","2017/03/03","11:52:00","false","",,"true"
"リリース準備","2017/03/03","09:26:00","2017/03/03","11:38:00","false","",,"true"
"事務処理","2017/03/03","09:16:00","2017/03/03","09:26:00","false","",,"true"
"間接時間","2017/03/03","08:58:00","2017/03/03","09:16:00","false","",,"true"
"通勤","2017/03/03","07:55:00","2017/03/03","08:58:00","false","",,"true"
"ルーティン","2017/03/03","07:30:00","2017/03/03","07:55:00","false","",,"true"
"食事","2017/03/03","07:25:00","2017/03/03","07:30:00","false","",,"true"
"睡眠","2017/03/03","02:00:00","2017/03/03","07:25:00","false","",,"true"
"ギター","2017/03/03","01:00:00","2017/03/03","02:00:00","false","",,"true"
"ネット/SNS","2017/03/03","00:00:00","2017/03/03","01:00:00","false","タイムログ管理について",,"true"
