ｱｸﾃｨﾋﾞﾃｨの種類,記録時間,開始,終了,コメント
ルーティン,1.0,03月 4日 22:15,03月 4日 23:15,
家事,0.3,03月 4日 21:55,03月 4日 22:15,
ルーティン,0.0,03月 4日 21:55,03月 4日 21:55,
ギター,1.0,03月 4日 20:54,03月 4日 21:55,
食事,1.0,03月 4日 19:54,03月 4日 20:54,
買い物,0.3,03月 4日 19:34,03月 4日 19:54,
ネット/SNS,1.0,03月 4日 18:33,03月 4日 19:34,
録音,0.4,03月 4日 18:09,03月 4日 18:33,
ギター,3.0,03月 4日 15:06,03月 4日 18:09,
管理/調整,1.9,03月 4日 13:10,03月 4日 15:06,
テレビ,0.7,03月 4日 12:28,03月 4日 13:10,
家事,0.4,03月 4日 12:04,03月 4日 12:28,
家事,0.0,03月 4日 12:03,03月 4日 12:04,
ルーティン,0.2,03月 4日 11:54,03月 4日 12:03,
テレビ,0.2,03月 4日 11:42,03月 4日 11:54,
食事,0.7,03月 4日 11:01,03月 4日 11:42,
ギター,0.2,03月 4日 10:48,03月 4日 11:01,
家事,0.1,03月 4日 10:41,03月 4日 10:48,
ルーティン,0.3,03月 4日 10:24,03月 4日 10:41,
食事,0.1,03月 4日 10:17,03月 4日 10:24,
睡眠,9.3,03月 4日 00:58,03月 4日 10:17,
ルーティン,1.1,03月 3日 23:53,03月 4日 00:57,
通勤,0.9,03月 3日 22:59,03月 3日 23:53,
飲み会,3.0,03月 3日 20:00,03月 3日 22:59,
移動,0.4,03月 3日 19:34,03月 3日 20:00,
ユーザー検証,2.0,03月 3日 17:34,03月 3日 19:34,
会話,1.4,03月 3日 16:12,03月 3日 17:34,
ユーザー検証,0.8,03月 3日 15:22,03月 3日 16:12,
事務処理,0.0,03月 3日 15:19,03月 3日 15:22,
休憩,0.3,03月 3日 15:01,03月 3日 15:19,
リリース準備,0.6,03月 3日 14:27,03月 3日 15:01,
会話,0.0,03月 3日 14:25,03月 3日 14:27,
リリース準備,1.5,03月 3日 12:55,03月 3日 14:25,
間接時間,0.2,03月 3日 12:45,03月 3日 12:55,
睡眠,0.3,03月 3日 12:30,03月 3日 12:45,
ネット/SNS,0.4,03月 3日 12:06,03月 3日 12:30,
食事,0.2,03月 3日 11:52,03月 3日 12:06,
ユーザー検証,0.2,03月 3日 11:38,03月 3日 11:52,
リリース準備,2.2,03月 3日 09:26,03月 3日 11:38,
事務処理,0.2,03月 3日 09:16,03月 3日 09:26,
間接時間,0.3,03月 3日 08:58,03月 3日 09:16,
通勤,1.0,03月 3日 07:55,03月 3日 08:58,
ルーティン,0.4,03月 3日 07:30,03月 3日 07:55,
食事,0.1,03月 3日 07:25,03月 3日 07:30,
睡眠,5.4,03月 3日 02:00,03月 3日 07:25,
ギター,1.0,03月 3日 01:00,03月 3日 02:00,
ネット/SNS,1.0,03月 3日 00:00,03月 3日 01:00,タイムログ管理について
ｱｸﾃｨﾋﾞﾃｨの種類,記録時間,Percent
睡眠,15.0,2.0
仕事,11.6,1.6
音楽,5.7,0.8
飲み会,3.0,0.4
ルーティン,2.9,0.4
ネット/SNS,2.4,0.3
食事,2.1,0.3
管理/調整,1.9,0.3
テレビ,0.9,0.1
家事,0.9,0.1
移動,0.4,0.1
買い物,0.3,0.0
その他,696.8,93.7
合計,744.0
